gradNa_node1_x,gradNa_node1_y,gradNa_node2_x,gradNa_node2_y,gradNa_node3_x,gradNa_node3_y,qpWeight
-1.90960368361997332443e+01,4.01251352295231669132e+01,-1.45803961867310167833e+01,-2.73073990659736622888e+01,3.36764330229307518039e+01,-1.28177361635495117298e+01,4.51873866499899977649e-04
-3.36764330229307518039e+01,1.28177361635495099534e+01,1.90960368361997332443e+01,-4.01251352295231669132e+01,1.45803961867310203360e+01,2.73073990659736622888e+01,4.51873866499899977649e-04
-1.90960368361997332443e+01,4.01251352295231669132e+01,-1.45803961867310167833e+01,-2.73073990659736622888e+01,3.36764330229307518039e+01,-1.28177361635495117298e+01,4.51873866499899977649e-04
-1.90973881249493295797e+01,4.01256495495125022899e+01,-1.45794765591477695210e+01,-2.73077490894967240820e+01,3.36768646840970973244e+01,-1.28179004600157835370e+01,4.51868074499899973623e-04
-3.36764330229307802256e+01,1.28177361635495845604e+01,1.90960368361997545605e+01,-4.01251352295232166512e+01,1.45803961867310256650e+01,2.73073990659736374198e+01,4.51873866499899977649e-04
-1.45794765591477553102e+01,-2.73077490894967027657e+01,3.36768646840970831136e+01,-1.28179004600158368277e+01,-1.90973881249493189216e+01,4.01256495495125378170e+01,4.51868074499899973623e-04
-3.36775078365352911192e+01,1.28192517918929471676e+01,1.90977528421476492326e+01,-4.01264158592502369061e+01,1.45797549943876436629e+01,2.73071640673572950675e+01,4.51859444999999995424e-04
-3.36768646840970973244e+01,1.28179004600157835370e+01,1.90973881249493295797e+01,-4.01256495495125022899e+01,1.45794765591477677447e+01,2.73077490894967240820e+01,4.51868074499899973623e-04
-1.90960368361997545605e+01,4.01251352295232166512e+01,-1.45803961867310274414e+01,-2.73073990659736303144e+01,3.36764330229307802256e+01,-1.28177361635495863368e+01,4.51873866499899977649e-04
-3.36764330229307518039e+01,1.28177361635495099534e+01,1.90960368361997332443e+01,-4.01251352295231669132e+01,1.45803961867310203360e+01,2.73073990659736622888e+01,4.51873866499899977649e-04
-1.90960368361997332443e+01,4.01251352295231669132e+01,-1.45803961867310167833e+01,-2.73073990659736622888e+01,3.36764330229307518039e+01,-1.28177361635495117298e+01,4.51873866499899977649e-04
